iyear,country_txt,incident_count
1970,Japan,1
1973,Japan,2
1974,Japan,3
1974,South Korea,1
1975,Japan,2
1976,Japan,1
1976,Taiwan,1
1978,Japan,29
1979,Japan,10
1980,Hong Kong,1
1981,Hong Kong,3
1981,Japan,1
1982,Japan,2
1982,South Korea,1
1983,Japan,10
1983,South Korea,1
1984,Japan,15
1985,Japan,10
1986,Japan,9
1986,South Korea,2
1987,Japan,10
1988,Japan,16
1988,South Korea,8
1989,China,3
1989,Hong Kong,1
1989,Japan,13
1989,South Korea,1
1990,China,1
1990,Hong Kong,1
1990,Japan,92
1990,South Korea,3
1990,Taiwan,1
1991,China,1
1991,Hong Kong,1
1991,Japan,19
1991,South Korea,3
1991,Taiwan,2
1992,China,5
1992,Hong Kong,6
1992,Japan,37
1992,South Korea,3
1992,Taiwan,20
1994,China,13
1994,Hong Kong,4
1994,Japan,9
1994,North Korea,1
1994,South Korea,2
1994,Taiwan,5
1995,China,8
1995,Hong Kong,1
1995,Japan,20
1995,Macau,1
1995,South Korea,4
1995,Taiwan,4
1996,China,61
1996,Hong Kong,3
1996,Japan,8
1996,Macau,9
1996,South Korea,1
1996,Taiwan,5
1997,China,18
1997,Japan,5
1997,Macau,16
1997,Taiwan,1
1998,China,1
1998,Japan,1
1998,Macau,6
1999,China,2
1999,Japan,2
2000,China,3
2000,Hong Kong,2
2000,Japan,13
2001,China,12
2001,Hong Kong,1
2001,Japan,3
2001,South Korea,1
2001,Taiwan,2
2002,China,2
2002,Japan,2
2003,China,3
2003,Japan,2
2003,South Korea,1
2004,China,2
2004,Taiwan,2
2005,China,1
2005,Hong Kong,1
2006,South Korea,1
2008,China,20
2008,Hong Kong,1
2008,Japan,3
2008,Taiwan,1
2009,China,5
2009,Japan,1
2010,China,1
2011,China,2
2012,China,3
2013,China,10
2013,Japan,1
2013,Taiwan,2
2014,China,36
2014,Japan,5
2014,Taiwan,1
2015,China,14
2015,Japan,10
2015,South Korea,1
2016,China,5
2016,Japan,1
2016,South Korea,1
2016,Taiwan,1
2017,China,6
2017,Taiwan,1
2018,China,1
2018,Japan,1
2018,South Korea,1
2018,Taiwan,3
2019,China,14
2019,Japan,2
2019,South Korea,1
2019,Taiwan,1
2020,China,21
